P,I,U,hidden_1,hidden_2,hidden_3,T_1500
2,1,50,-4.6073985,1.719296,-1.2944669,1.3367733e-08
2,1,60,-4.7387776,1.7625778,-1.0262461,8.7780397e-09
2,1,70,-3.9775035,1.6242356,-0.5836192,5.9712109e-09
2,1,80,-4.154861,2.0510159,-0.9088013,4.4460925e-09
2,1,90,-4.205576,2.7782404,-1.682569,3.4682934e-09
2,1,100,-3.7013144,2.687086,-1.5701579,2.7860671e-09
2,1,120,-2.504292,2.674448,-0.8817065,1.7138877e-09
2,1,140,-1.3091062,2.2051723,-0.0045553893,1.137713e-09
2,1,160,-0.41369376,2.2912016,-0.12459986,8.0947928e-10
2,1,180,0.5303448,2.3307655,0.5593929,6.2105835e-10
2,1,200,0.85787797,2.100389,-0.592107,4.7410397e-10
2,1,220,1.6426331,2.228945,-1.3956991,3.8284627e-10
2,1,250,2.856748,1.8665705,-1.4708776,2.9054189e-10
2,1,50,-4.391058,2.861178,-1.4112262,2e-08
2,1,60,-4.588988,3.243236,-1.8149536,1.31e-08
2,1,70,-4.0993176,3.0638223,-1.3293115,9.03e-09
2,1,80,-3.9472902,3.0056925,-1.782585,6.7e-09
2,1,90,-3.5914857,2.69157,-1.5347742,5.06e-09
2,1,100,-3.1546934,2.506741,-1.1636249,4.05e-09
2,1,120,-2.5435102,2.5158854,-0.9136981,2.64e-09
2,1,140,-1.8392371,2.61024,-0.821925,1.69e-09
2,1,160,-0.49859545,2.051916,-0.6106569,1.06e-09
2,1,180,1.2938946,0.78904665,1.3455081,7.71e-10
2,1,200,1.2654865,1.7187328,-0.84711444,5.53e-10
2,1,220,3.2506227,-0.5516766,2.8432574,4.51e-10
2,1,250,4.070985,-0.60836387,3.6034377,3.17e-10
2,2,50,-4.391058,2.861178,-1.4112262,2e-08
2,2,60,-4.588988,3.243236,-1.8149536,1.31e-08
2,2,70,-4.0993176,3.0638223,-1.3293115,9.03e-09
2,2,80,-3.9472902,3.0056925,-1.782585,6.7e-09
2,2,90,-3.5914857,2.69157,-1.5347742,5.06e-09
2,2,100,-3.1546934,2.506741,-1.1636249,4.05e-09
2,2,120,-2.5435102,2.5158854,-0.9136981,2.64e-09
2,2,140,-1.8392371,2.61024,-0.821925,1.69e-09
2,2,160,-0.49859545,2.051916,-0.6106569,1.06e-09
2,2,180,1.2938946,0.78904665,1.3455081,7.71e-10
2,2,200,1.2654865,1.7187328,-0.84711444,5.53e-10
2,2,220,3.2506227,-0.5516766,2.8432574,4.51e-10
2,2,250,4.070985,-0.60836387,3.6034377,3.17e-10
2,3,50,-2.181757,2.4899986,-0.7528557,2.3627952e-08
2,3,70,-0.07088563,0.81085145,0.29625022,7.9421463e-09
2,3,80,0.540912,0.24345344,0.72751266,5.5429397e-09
2,3,90,0.7692337,-0.070099115,1.1225405,4.2883059e-09
2,3,100,0.7029396,-0.109104276,1.0750034,3.5420443e-09
2,3,120,0.3449238,0.10406518,1.0016264,2.6377666e-09
2,3,140,-0.22283813,0.47991836,0.7306961,2.1126009e-09
2,3,160,-1.5082955,2.5735211,-0.18724094,1.711938e-09
2,3,180,-0.46059287,2.3975172,-0.20173465,1.2236405e-09
2,3,200,0.11532915,2.3649223,-1.1597553,8.7234114e-10
2,3,220,1.8527479,1.219968,0.90299535,6.3101273e-10
2,3,250,3.1757724,-0.03590381,2.0630858,4.4844897e-10
2,4,50,1.0766484,1.7555404,0.13440372,3.1458532e-08
2,4,60,1.2497797,1.3258505,0.20434515,1.6617015e-08
2,4,70,2.5218487,-0.35339272,0.96530104,9.5345484e-09
2,4,80,2.8006501,-1.0104501,1.66567,6.6994153e-09
